fault_id,fault_timestamp,fault_code,fault_description,fault_category,network_type,equipment_type,location,severity,customer_impact,customers_affected,service_calls_generated,resolution_timestamp,resolution_time_hours,first_time_fix,technician_type_required,estimated_revenue_impact,priority_score
F000001,2025-08-31T23:59:28.980033,400.1,Minor packet loss detected,Minor,COAX,Harmonic CableOS,Odense West,Low,Minimal,46,4,2025-09-01T03:23:13.864552,3.4,True,General,1395.4900259081585,0.6044319475918476
F000002,2025-09-23T17:14:41.764429,813.1,Underground cable damage,Cable Fault,COAX,Cisco cBR-8,Esbjerg South,High,Severe,3647,321,2025-09-25T01:56:58.978107,32.7,False,Specialist,68149.88122220723,0.8887906113197475
F000003,2025-07-08T02:53:55.424770,600.1,Temperature threshold exceeded,Major,FIBER,Nokia 7750,Horsens,Medium,Moderate,100,46,2025-07-08T10:13:37.905673,7.33,False,General,5598.128780320578,0.6445686546456934
F000004,2025-08-30T13:00:53.211267,100.1,Low bandwidth utilization,Minor,COAX,Casa C100G,Horsens,Low,Minimal,44,5,2025-08-30T16:05:55.470731,3.08,False,General,1674.3107239078174,0.81421138499678
F000005,2025-09-15T23:27:46.312592,700.2,Power supply fluctuation,Major,COAX,Casa C100G,Silkeborg,Medium,Moderate,289,14,2025-09-16T05:08:58.484224,5.69,False,General,21042.055600247942,0.42777736137419486
F000006,2025-08-27T22:25:06.151598,900.1,Power supply fluctuation,Major,FIBER,Cisco ASR9000,Vejle,Medium,Moderate,473,10,2025-08-28T08:51:51.543033,10.45,True,General,33311.72614813225,0.5578539046880964
F000007,2025-09-16T00:55:38.214909,600.1,Service degradation detected,Major,COAX,Harmonic CableOS,Horsens,Medium,Moderate,480,21,2025-09-16T10:37:37.609840,9.7,False,General,44529.90757577361,0.4439373082082747
F000008,2025-08-03T10:15:12.449778,200.2,Configuration drift,Minor,FIBER,Cisco ASR9000,Aalborg East,Low,Minimal,28,3,2025-08-03T12:28:20.595259,2.22,True,General,2544.6400990191237,0.18416972150458744
F000009,2025-07-24T08:15:18.186484,150.4,Service degradation detected,Major,FIBER,Cisco ASR9000,Odense West,Medium,Moderate,313,21,2025-07-24T14:13:34.869329,5.97,True,General,10926.544025627463,0.45575971564536555
F000010,2025-07-11T09:09:30.289563,100.1,Routine maintenance alert,Minor,FIBER,Nokia 7750,Copenhagen Central,Low,Minimal,5,2,2025-07-11T10:56:02.014409,1.78,True,General,312.6976175832085,0.752689471115416
F000011,2025-09-25T04:23:54.864889,150.4,High error rate on interface,Major,COAX,Arris E6000,Copenhagen Central,Medium,Moderate,283,41,2025-09-25T06:30:02.764465,2.1,False,General,5385.683190047179,0.4154524280637956
F000012,2025-07-21T15:57:29.489370,100.1,Minor packet loss detected,Minor,FIBER,Juniper MX960,Silkeborg,Low,Minimal,50,4,2025-07-21T16:28:45.103430,0.52,False,General,2082.8052924034027,0.9269724643192705
